ID_DISCENTE;ANO_NASCIMENTO;PERIODO_INGRESSO;PERIODO_LETIVO;CAMPUS;CD_INEP;CURSO;CARGA_HORARIA_CURSO;TURNO;MODALIDADE;COTAS;SEXO;NACIONALIDADE;CIDADE_NAT;UF_NAT;LAT;LON
301563;1998;20161;20201;REITOR JOAQUIM AMAZONAS;13625;TURISMO;3000;TARDE;PRESENCIAL;L2;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
301743;1997;20162;20201;AGRESTE;101082;ADMINISTRAÇAO -CAA;3000;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
301747;1986;20161;20201;AGRESTE;101082;ADMINISTRAÇAO -CAA;3000;MANHA;PRESENCIAL;L2;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
301781;1998;20162;20201;AGRESTE;101086;CIENCIAS ECONOMICA - CAA;3000;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
292628;1992;20161;20201;AGRESTE;101086;CIENCIAS ECONOMICA - CAA;3000;NOITE;PRESENCIAL;L6;M;BRA;SANTA CRUZ DO CAPIBARIBE;PE;;
292628;1992;20161;20202;AGRESTE;101086;CIENCIAS ECONOMICA - CAA;3000;NOITE;PRESENCIAL;L6;M;BRA;SANTA CRUZ DO CAPIBARIBE;PE;;
302061;1993;20162;20201;REITOR JOAQUIM AMAZONAS;13586;ENGENHARIA MECANICA;3690;INTEGRAL;PRESENCIAL;L2;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
302061;1993;20162;20202;REITOR JOAQUIM AMAZONAS;13586;ENGENHARIA MECANICA;3690;INTEGRAL;PRESENCIAL;L2;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
289058;1997;20162;20201;AGRESTE;118098;QUIMICA - LICENCIATURA - CAA;3210;NOITE;PRESENCIAL;AC;M;BRA;CARUARU;PE;;
289058;1997;20162;20202;AGRESTE;118098;QUIMICA - LICENCIATURA - CAA;3210;NOITE;PRESENCIAL;AC;M;BRA;CARUARU;PE;;
302599;1987;20162;20201;REITOR JOAQUIM AMAZONAS;13604;MUSICA - LICENCIATURA;2430;TARDE/NOITE;PRESENCIAL;AC;M;BRA;JABOATAO DOS GUARARAPES;PE;;
302599;1987;20162;20202;REITOR JOAQUIM AMAZONAS;13604;MUSICA - LICENCIATURA;2430;TARDE/NOITE;PRESENCIAL;AC;M;BRA;JABOATAO DOS GUARARAPES;PE;;
303116;1997;20162;20201;REITOR JOAQUIM AMAZONAS;117394;CINEMA E AUDIOVISUAL;2720;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
293018;1997;20162;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;NOITE;PRESENCIAL;AC;M;BRA;OLINDA;PE;;
295539;1991;20162;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
303286;1997;20162;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
289609;1997;20162;20201;REITOR JOAQUIM AMAZONAS;13579;HISTORIA - LICENCIATURA;2830;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
303366;1997;20162;20201;REITOR JOAQUIM AMAZONAS;13579;HISTORIA - LICENCIATURA;2830;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
268477;1995;20162;20201;REITOR JOAQUIM AMAZONAS;13584;ENGENHARIA CIVIL;3900;INTEGRAL;PRESENCIAL;AC;M;BRA;RIBEIRAO;PE;;
303376;1995;20162;20201;REITOR JOAQUIM AMAZONAS;13584;ENGENHARIA CIVIL;3900;INTEGRAL;PRESENCIAL;AC;M;BRA;RIBEIRAO;PE;;
303467;1995;20162;20201;REITOR JOAQUIM AMAZONAS;13581;SERVICO SOCIAL;3100;TARDE;PRESENCIAL;L5;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
303837;1987;20162;20201;REITOR JOAQUIM AMAZONAS;1313313;LETRAS LIBRAS - LICENCIATURA;2985;MANHA;PRESENCIAL;L5;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
304357;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13576;DIREITO;3300;NOITE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
304357;1999;20171;20202;REITOR JOAQUIM AMAZONAS;13576;DIREITO;3300;NOITE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
298886;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13625;TURISMO;3000;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
304426;1993;20172;20201;REITOR JOAQUIM AMAZONAS;21847;CIENCIAS SOCIAIS - LICENCIATURA;2310;NOITE;PRESENCIAL;L6;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
304426;1993;20172;20202;REITOR JOAQUIM AMAZONAS;21847;CIENCIAS SOCIAIS - LICENCIATURA;2310;NOITE;PRESENCIAL;L6;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
